user_id,session_id,first_purchase_date,subscription_type,event_date,user_journey
1516,2980231,"2023-01-27 12:16:44",Annualy,"2022-12-11 17:42:46","Log in-Other-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Homepage-Log in"
1516,2980248,"2023-01-27 12:16:44",Annualy,"2022-12-11 17:44:57","Log in-Log in-Log in-Log in-Log in-Log in-Sign up-Sign up-Sign up-Sign up-Other-Sign up"
1516,2992252,"2023-01-27 12:16:44",Annualy,"2022-12-12 13:22:59","Log in-Log in-Log in-Log in-Log in-Log in"
1516,3070491,"2023-01-27 12:16:44",Annualy,"2022-12-15 08:24:45","Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Homepage-Log in"
1516,3709807,"2023-01-27 12:16:44",Annualy,"2023-01-26 07:58:16","Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in-Log in"
1516,3723132,"2023-01-27 12:16:44",Annualy,"2023-01-27 06:55:40",Checkout-Checkout-Checkout-Checkout
1516,3723365,"2023-01-27 12:16:44",Annualy,"2023-01-27 07:21:46",Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
1516,3723382,"2023-01-27 12:16:44",Annualy,"2023-01-27 07:24:01",Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
1516,3723427,"2023-01-27 12:16:44",Annualy,"2023-01-27 07:28:08",Checkout-Checkout
1516,3723483,"2023-01-27 12:16:44",Annualy,"2023-01-27 07:34:42",Coupon-Coupon
1516,3723508,"2023-01-27 12:16:44",Annualy,"2023-01-27 07:37:13",Checkout-Checkout-Checkout-Checkout
1516,3724778,"2023-01-27 12:16:44",Annualy,"2023-01-27 09:47:49",Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
1516,3726160,"2023-01-27 12:16:44",Annualy,"2023-01-27 12:14:17",Checkout-Checkout
3395,3645805,"2023-01-26 14:17:32",Annualy,"2023-01-21 19:17:23","Log in-Log in-Sign up-Log in-Pricing-Sign up"
3395,3657408,"2023-01-26 14:17:32",Annualy,"2023-01-22 19:30:34",Homepage-Pricing
3395,3712148,"2023-01-26 14:17:32",Annualy,"2023-01-26 11:51:20",Pricing-Checkout
3395,3713857,"2023-01-26 14:17:32",Annualy,"2023-01-26 14:16:58",Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout-Checkout
10107,3653049,"2023-01-22 19:07:59",Annualy,"2023-01-22 11:35:41","Resource center-Other-Resource center-Resource center-Homepage-Resource center"
